MSSubClass,MSZoning,LotFrontage,LotArea,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,TotalBath,TotalPorchSF,HouseAge,RemodAge,IsRemodeled,IsOnOrBefore1950Remodel,IsFinancialCrisis,IsPostBubble,HasBsmt,HasGarage,HasPool,HasFireplace,TotalQual,QualPerAge,AreaPerRoom,IsIrregularLot,IsSevereSlope,IsLargeGrLivArea,IsLargeTotalBsmtSF,IsLarge1stFlrSF,Street_Pave,Alley_None,Alley_Pave,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSeWa,LandSlope_Mod,LandSlope_Sev,MasVnrType_BrkFace,MasVnrType_Stone,CentralAir_Y,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y,RemodelEra_Original_No_Remodel,RemodelEra_Remodel_1951_1999,RemodelEra_Remodel_2000_Plus,Year_2007.0,Year_2008.0,Year_2009.0,Year_2010.0,Month_2.0,Month_3.0,Month_4.0,Month_5.0,Month_6.0,Month_7.0,Month_8.0,Month_9.0,Month_10.0,Month_11.0,Month_12.0
60,RL,-0.21052631578947367,-0.25407608695652173,Inside,CollgCr,Norm,Norm,1Fam,2Story,0.5,0.0,0.6521739130434783,0.24324324324324326,Gable,CompShg,VinylSd,VinylSd,1.1933028919330289,1.0,0.0,PConc,0.0,0.0,0.0,0.4,0.45279045279045277,0.0,0.0,-0.5598290598290598,-0.26965174129353237,GasA,0.0,SBrkr,-0.4536082474226804,1.1730769230769231,0.0,0.38006952491309387,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Typ,-1.0,-0.5,Attchd,0.5897435897435898,0.0,0.2815734989648033,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,-1.3333333333333333,0.0,WD,Normal,0.08748114630467571,3.0,0.09558823529411764,-0.6521739130434783,-0.24324324324324326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.6,1.2540235564886013,-0.12062412135307281,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
20,RL,0.5789473684210527,0.030014822134387352,FR2,Veenker,Feedr,Norm,1Fam,1Story,0.0,3.0,0.06521739130434782,-0.4864864864864865,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,0.0,CBlock,0.0,0.0,3.0,0.2,0.8346788346788346,0.0,0.0,-0.33076923076923076,0.5383084577114428,GasA,0.0,SBrkr,0.3436426116838488,0.0,0.0,-0.3120896098879876,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Typ,0.0,0.25,Attchd,-0.10256410256410256,0.0,-0.08281573498964803,0.0,0.0,1.7738095238095237,-0.36764705882352944,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,-0.3333333333333333,-0.5,WD,Normal,0.04524886877828054,1.0,-0.35294117647058826,-0.06521739130434782,0.4864864864864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05934273206647317,-0.3094572782338547,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
60,RL,-0.05263157894736842,0.4376235177865613,Inside,CollgCr,Norm,Norm,1Fam,2Story,0.5,0.0,0.6086956521739131,0.21621621621621623,Gable,CompShg,VinylSd,VinylSd,0.9863013698630136,1.0,0.0,PConc,0.0,0.0,1.0,0.4,0.14391014391014392,0.0,0.0,-0.07435897435897436,-0.14228855721393036,GasA,0.0,SBrkr,-0.32793323514973,1.1895604395604396,0.0,0.4974893781382773,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Typ,0.0,0.25,Attchd,0.5384615384615384,0.0,0.5300207039337475,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,1.0,0.0,WD,Normal,0.22825540472599296,3.0,-0.04411764705882353,-0.6086956521739131,-0.21621621621621623,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9532046438643245,1.145668813023934,1.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
70,RL,-0.47368421052631576,0.017663043478260868,Corner,Crawfor,Norm,Norm,1Fam,2Story,0.5,0.0,-1.2608695652173914,-0.6486486486486487,Gable,CompShg,Wd Sdng,Wd Shng,0.0,0.0,0.0,BrkTil,-1.0,1.0,0.0,0.2,-0.23517023517023516,0.0,0.0,0.10683760683760683,-0.46865671641791046,GasA,-0.5,SBrkr,-0.24742268041237114,1.0384615384615385,0.0,0.39088451139436076,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.5,Typ,0.0,0.5,Detchd,0.46153846153846156,1.0,0.6708074534161491,0.0,0.0,0.0,0.14705882352941177,272.0,0.0,0.0,0.0,0.0,0.0,None,0.0,-1.3333333333333333,-1.0,WD,Abnorml,-0.006033182503770739,0.0,1.9044117647058822,1.2608695652173914,0.6486486486486487,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1435309750783516,0.3580540465487618,1.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
60,RL,0.7894736842105263,1.1812005928853755,FR2,NoRidge,Norm,Norm,1Fam,2Story,1.0,0.0,0.5869565217391305,0.16216216216216217,Gable,CompShg,VinylSd,VinylSd,2.13089802130898,1.0,0.0,PConc,0.0,0.0,2.0,0.4,0.3811863811863812,0.0,0.0,0.021367521367521368,0.3054726368159204,GasA,0.0,SBrkr,0.11389297987236131,1.4464285714285714,0.0,1.134028582464272,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5,Typ,0.0,0.25,Attchd,0.5128205128205128,1.0,1.474120082815735,0.0,0.0,1.1428571428571428,0.8676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,2.0,0.0,WD,Normal,0.8687782805429864,3.0,0.2647058823529412,-0.5869565217391305,-0.16216216216216217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8438159483645873,0.4586493569606196,1.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
50,RL,0.8421052631578947,1.1453804347826086,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,-0.5,0.0,0.43478260869565216,0.02702702702702703,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,0.0,Wood,0.0,0.0,0.0,0.4,0.4892944892944893,0.0,0.0,-0.7068376068376069,-0.3890547263681592,GasA,0.0,SBrkr,-0.5714285714285714,0.7774725274725275,0.0,-0.15758980301274622,1.0,0.0,-1.0,1.0,-2.0,0.0,0.0,-0.5,Typ,-1.0,-0.5,Attchd,0.3333333333333333,0.0,0.0,0.0,0.0,0.23809523809523808,0.07352941176470588,0.0,320.0,0.0,0.0,0.0,3.0,Shed,700.0,1.3333333333333333,0.5,WD,Normal,-0.32277526395173456,1.0,2.2205882352941178,-0.43478260869565216,-0.02702702702702703,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.2,0.3515668186157707,0.5986080497075518,1.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
20,RL,0.3157894736842105,0.1495800395256917,Inside,Somerst,Norm,Norm,1Fam,1Story,1.0,0.0,0.6739130434782609,0.2972972972972973,Gable,CompShg,VinylSd,VinylSd,1.1324200913242009,1.0,0.0,PConc,1.0,0.0,2.0,0.4,1.3836433836433837,0.0,0.0,-0.2743589743589744,1.382089552238806,GasA,0.0,SBrkr,1.191948944526264,0.0,0.0,0.3553495558130552,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,Typ,0.0,0.5,Attchd,0.6153846153846154,0.0,0.6459627329192547,0.0,0.0,1.5178571428571428,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.6666666666666666,-0.5,WD,Normal,0.905982905982906,2.0,0.0661764705882353,-0.6739130434782609,-0.2972972972972973,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5548424691128782,0.3021677629866186,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
60,RL,0.0,0.22319664031620554,Corner,NWAmes,PosN,Norm,1Fam,2Story,0.5,1.0,0.0,-0.5675675675675675,Gable,CompShg,HdBoard,HdBoard,1.461187214611872,0.0,0.0,CBlock,0.0,0.0,1.0,0.2,0.6676026676026676,3.0,32.0,-0.44700854700854703,0.2298507462686567,GasA,0.0,SBrkr,0.039273441335297005,1.3502747252747254,0.0,0.9671687910390112,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,Typ,1.0,0.25,Attchd,-0.1794871794871795,0.0,0.016563146997929608,0.0,0.0,1.3988095238095237,2.6323529411764706,228.0,0.0,0.0,0.0,0.0,0.0,Shed,350.0,1.6666666666666667,0.5,WD,Normal,0.7219708396178984,3.0,2.823529411764706,0.0,0.5675675675675675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03491533164284769,1.2643837756217786,1.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
50,RM,-0.9473684210526315,-0.8296689723320159,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,0.5,0.0,-0.9130434782608695,-1.1891891891891893,Gable,CompShg,BrkFace,Wd Shng,0.0,0.0,0.0,BrkTil,-1.0,0.0,0.0,-0.6,-0.5384345384345385,0.0,0.0,0.8111111111111111,-0.07860696517412935,GasA,-0.5,FuseF,-0.12763868433971526,1.032967032967033,0.0,0.47894940131324837,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,Min1,1.0,0.25,Detchd,-1.2564102564102564,0.0,-0.049689440993788817,-1.0,0.0,0.5357142857142857,-0.36764705882352944,205.0,0.0,0.0,0.0,0.0,0.0,None,0.0,-0.6666666666666666,0.0,WD,Abnorml,0.24836601307189543,0.0,1.1544117647058822,0.9130434782608695,1.1891891891891893,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.13726391439867916,0.017606686298218453,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
190,RL,-1.0,-0.5085227272727273,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,-0.5,1.0,-0.7391304347826086,-1.1891891891891893,Gable,CompShg,MetalSd,MetalSd,0.0,0.0,0.0,BrkTil,-1.0,0.0,0.0,0.4,0.6563706563706564,0.0,0.0,-0.5769230769230769,-0.0009950248756218905,GasA,0.0,SBrkr,-0.019636720667648502,0.0,0.0,-0.5979142526071842,1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-0.5,Typ,1.0,0.25,Attchd,-1.0512820512820513,-1.0,-1.1387163561076605,1.0,0.0,0.0,-0.3088235294117647,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,-1.6666666666666667,0.0,WD,Normal,-0.4132730015082956,0.0,-0.3235294117647059,0.7391304347826086,1.1891891891891893,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.09966155032064457,-0.3247305482756825,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20,RL,0.05263157894736842,0.42527173913043476,Inside,Sawyer,Norm,Norm,1Fam,1Story,-0.5,0.0,-0.17391304347826086,-0.7837837837837838,Hip,CompShg,HdBoard,HdBoard,0.0,0.0,0.0,CBlock,-1.0,0.0,0.0,-0.2,0.7335907335907336,0.0,0.0,-0.5871794871794872,0.09651741293532339,GasA,0.0,SBrkr,-0.09229258713794797,0.0,0.0,-0.6550791811510236,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.5,Typ,-1.0,-0.5,Detchd,-0.38461538461538464,-1.0,-0.39751552795031053,0.0,0.0,0.0,-0.36764705882352944,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,-1.3333333333333333,0.0,WD,Normal,-0.40120663650075417,0.0,-0.35294117647058826,0.17391304347826086,0.7837837837837838,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.027726592953969682,-0.4446025767857864,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
60,RL,0.8421052631578947,0.6041254940711462,Inside,NridgHt,Norm,Norm,1Fam,2Story,1.5,0.0,0.6956521739130435,0.32432432432432434,Hip,CompShg,WdShing,Wd Shng,1.7412480974124809,2.0,0.0,PConc,1.0,0.0,0.0,0.4,0.8627588627588627,0.0,0.0,-0.5136752136752136,0.36517412935323385,GasA,0.0,SBrkr,0.18654884634266078,1.5686813186813187,0.0,1.3286983391270761,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.5,Typ,1.0,0.5,BuiltIn,0.6410256410256411,1.0,1.060041407867495,0.0,0.0,0.875,-0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.3333333333333333,-1.0,New,Partial,1.0256410256410255,4.0,-0.19852941176470587,-0.6956521739130435,-0.32432432432432434,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.2,2.056207323486673,-0.04934886115787597,1.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20,RL,0.0,0.8620306324110671,Inside,Sawyer,Norm,Norm,1Fam,1Story,-0.5,1.0,-0.2391304347826087,-0.8648648648648649,Hip,CompShg,HdBoard,Plywood,0.0,0.0,0.0,CBlock,-1.0,0.0,0.0,0.2,0.4963144963144963,0.0,0.0,-0.5170940170940171,-0.1582089552238806,GasA,-1.0,SBrkr,-0.3436426116838488,0.0,0.0,-0.8528389339513326,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,Typ,-1.0,-0.5,Detchd,-0.46153846153846156,-1.0,-0.5300207039337475,0.0,0.0,0.8333333333333334,-0.36764705882352944,0.0,0.0,176.0,0.0,0.0,0.0,None,0.0,1.0,0.0,WD,Normal,-0.6586224233283057,0.0,0.9411764705882353,0.2391304347826087,0.8648648648648649,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.4,-0.06589616216894002,-0.26835829703039016,1.0,0.0,0.0,0.0,0.0,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
20,RL,1.1578947368421053,0.2898962450592885,Inside,CollgCr,Norm,Norm,1Fam,1Story,0.5,0.0,0.717391304347826,0.35135135135135137,Gable,CompShg,VinylSd,VinylSd,1.8630136986301369,1.0,0.0,PConc,0.0,0.0,2.0,-0.6,-0.5384345384345385,0.0,0.0,1.7376068376068377,1.0,GasA,0.0,SBrkr,0.7992145311732941,0.0,0.0,0.046349942062572425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,Typ,0.0,0.5,Attchd,0.6666666666666666,1.0,1.4906832298136645,0.0,0.0,0.9523809523809523,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.6666666666666666,-0.5,New,Partial,0.5118149824032177,0.0,-0.11029411764705882,-0.717391304347826,-0.35135135135135137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.156480294361432,-0.183799920162452,1.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20,RL,0.0,0.35610177865612647,Corner,NAmes,Norm,Norm,1Fam,1Story,0.0,0.0,-0.2826086956521739,-0.918918918918919,Hip,CompShg,MetalSd,MetalSd,1.2907153729071537,0.0,0.0,CBlock,-1.0,0.0,0.0,0.0,0.4906984906984907,0.0,0.0,0.07264957264957266,0.5203980099502488,GasA,-1.0,SBrkr,0.32596956308296515,0.0,0.0,-0.3259945925067594,1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-0.5,Typ,0.0,0.0,Attchd,-0.5128205128205128,-1.0,-0.5300207039337475,0.0,0.0,0.0,2.764705882352941,176.0,0.0,0.0,0.0,0.0,2.0,None,0.0,-0.3333333333333333,0.0,WD,Normal,0.027149321266968326,1.0,2.5073529411764706,0.2826086956521739,0.918918918918919,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.07311870508909073,0.2454715332858939,1.0,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
